Name,Composants motion,Contenu mis à jour le,DS Tokens clés,Fichier React,Hero Tone,Last edited time,Revue conception,Statut design,Type,URL
Ressources — Hub contenu SBO,"group hover animations (hover:shadow-xl, hover:-translate-y-1, group-hover:translate-x-1)",27 June 2026,"border-ink-100, bg-white, rounded-3xl, rounded-2xl, text-primary-700, text-ink-900, shadow-sm, font-display text-h3, transition-all duration-base",MarketingRessources.tsx,🔵 Brand,28 June 2026 18:24,,Design validé,🟢 Production,/marketing/ressources
Waitlist — Page d'attente,"KineticHeadline, motion.div stagger variants, AnimatePresence mode wait, motion.ul stagger children",27 June 2026,"from-primary-50 via-white to-white, bg-secondary-50, border-primary-100, rounded-3xl, rounded-pill, bg-white/15, text-accent-400, shadow-brand-md",MarketingWaitlist.tsx,⬜ Default,28 June 2026 18:24,,Validé,🟢 Production,/marketing/waitlist
Conseil — Accompagnement SBO,"MeshGradientBg warm/ink, Reveal motion.div y:24→0, motion delays staggered",27 June 2026,"from-secondary-50 via-white, border-secondary-200, bg-gradient-to-br, text-secondary-700, rounded-3xl, p-section, shadow-sm",MarketingConseil.tsx,🟠 Warm,28 June 2026 18:24,,En cours,🟢 Production,/marketing/conseil
Formation — Formateur Augmenté,,29 June 2026,,MarketingFormation.tsx,🟠 Warm,29 June 2026 12:23,Appliqué,Validé,🟢 Production,/marketing/formation
Upskilling L&D — Programme sur-mesure,"FadeInWhenVisible, Stagger/StaggerItem, MagneticButton",10 July 2026,"accent-50/100/400, Button variant=accent, aquarelle-dore-ambre-*.jpg décoratif",MarketingUpskilling.tsx,🟡 Sun,10 July 2026 13:49,À faire,En cours,🟢 Production,/website/upskilling
Homepage - Proposition PAD,,,,,,26 July 2026 13:01,,,,
Le Studio IA & Pédagogie - Proposition PAD,,,,,,27 July 2026 09:23,,,,
Page Learning APP - Proposition PAD,,,,,,27 July 2026 10:39,,,,
Page autodiagnostic - Proposition PAD,,,,,,27 July 2026 11:34,,,,
Page  LA BIBLIOTHÈQUE DE COMPÉTENCES (N-1 learning app) - Proposition PAD,,,,,,27 July 2026 12:09,,,,
Page Les fondateurs - Proposition PAD,,,,,,27 July 2026 13:20,,,,
Page Accomapgnent STRIDE - Proposition PAD,,,,,,27 July 2026 13:21,,,,
"Page Méthode TLS (N-1 STRIDE) - Proposition PAD ",,,,,,27 July 2026 13:22,,,,
Page upskilling - Proposition PAD,,,,,,27 July 2026 13:22,,,,
